,Артикул,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Ширина кольца,Ширина,Высота,Номер страницы,Цена со скидкой,Цена без скидки
0,1011493,Для женщин,1.35,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.03,2.4602927436935533,7.272491669751944,3.3737936154417225,1,35100,77990
1,1012584-3,Для женщин,0.9,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,23.0,Бесцветный,0.069,2.0,2.0,1.0,1,7990,7990
2,1011545-3,Для женщин,1.31,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,57.0,Бесцветный,0.165,2.4602927436935533,7.272491669751944,3.3737936154417225,1,56250,124990
3,019243,Для женщин,0.99,Красное золото,585.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.846,2.0,5.0,4.0,1,6990,6990
4,019263,Для женщин,0.97,Красное золото,585.0,Родирование,Фианит,Круг,5.0,Бесцветный,1.004,1.0,3.0,3.0,1,6490,6490
5,1012568-3,Для женщин,3.31,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,116.0,Бесцветный,0.636,5.0,8.0,2.0,1,135000,299990
6,1012355-3,Для женщин,1.64,Белое золото,585.0,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,27.0,Бесцветный,0.078,2.0,4.0,2.0,1,24990,24990
7,1010139,Для женщин,1.64,Белое золото,585.0,Неизвестно,Бриллиант (природный),Круг,1.0,Бесцветный,0.285,2.4602927436935533,7.272491669751944,3.3737936154417225,1,138000,459990
8,1012564-3,Для женщин,0.78,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.029,1.0,4.0,3.0,1,8990,8990
9,1011677,Для женщин,1.5,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.1,2.0,4.0,4.0,1,65250,144990
10,1010256,Для женщин,3.74,Белое золото,585.0,Неизвестно,Бриллиант (природный),Круг,134.0,Бесцветный,0.496,2.4602927436935533,7.272491669751944,3.3737936154417225,1,119250,264990
11,1012326-3,Для женщин,3.35,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,12.0,Бесцветный,0.437,3.0,5.0,2.0,1,146250,324990
12,1012336-3,Для женщин,1.11,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,26.0,Бесцветный,0.075,2.0,3.0,1.0,1,31500,69990
13,1012616,Для женщин,3.39,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,56.0,Бесцветный,0.154,5.0,5.0,1.0,1,39990,39990
14,1011557,Для женщин,1.78,Комбинированное золото,585.0,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,1.0,Бесцветный,0.03,2.4602927436935533,7.272491669751944,3.3737936154417225,1,42750,94990
15,1011492,Для женщин,1.37,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.03,2.0,5.0,4.0,1,35100,77990
16,1011510,Для женщин,1.05,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.013,2.4602927436935533,7.272491669751944,3.3737936154417225,1,10990,10990
17,1012584,Для женщин,0.91,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,23.0,Бесцветный,0.069,2.0,2.0,1.0,1,7990,7990
18,1012564,Для женщин,0.77,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.03,1.0,4.0,3.0,1,8990,8990
19,1012306,Для женщин,0.83,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,23.0,Бесцветный,0.067,1.0,3.0,1.0,1,13990,13990
20,1010255,Для женщин,3.78,Красное золото,585.0,Неизвестно,Бриллиант (природный),Круг,134.0,Бесцветный,0.496,2.4602927436935533,7.272491669751944,3.3737936154417225,1,119250,264990
21,1011615,Для женщин,3.66,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,12.0,Бесцветный,0.044,2.4602927436935533,7.272491669751944,3.3737936154417225,1,76500,169990
22,1011545,Для женщин,1.35,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,57.0,Бесцветный,0.165,2.4602927436935533,7.272491669751944,3.3737936154417225,2,56250,124990
23,1011559,Для женщин,1.48,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.036,2.0,4.0,4.0,2,39600,87990
24,1011553,Для женщин,1.34,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.021,2.4602927436935533,7.272491669751944,3.3737936154417225,2,18990,18990
25,1011069,Для женщин,1.67,Белое золото,585.0,Неизвестно,Бриллиант (природный),Круг,1.0,Бесцветный,0.109,2.4602927436935533,7.272491669751944,3.3737936154417225,2,67500,149990
26,1011501,Для женщин,1.2,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.157,2.4602927436935533,7.272491669751944,3.3737936154417225,2,87750,194990
27,1012031,Для женщин,1.28,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.03,2.0,4.0,4.0,2,32850,72990
28,1011909-3,Для женщин,1.15,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.11,2.4602927436935533,7.272491669751944,3.3737936154417225,2,60750,134990
