,Артикул,Бренд,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Цветность,Чистота,Огранка,Тип вставки 2,Форма вставки 2,Количество 2,Цвет 2,Вес 2,Цветность 2,Чистота 2,Огранка 2,Цена со скидкой,Цена без скидки,Номер страницы,Ширина кольца,Ширина,Высота,Длина,Размеры вставки,Коллекция,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Цветность 3,Чистота 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 2,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 3,Размеры вставки 4,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Огранка 3,Цветность 4,Чистота 4,Огранка 4,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14,Цветность 5,Чистота 5,Цветность 6,Чистота 6,Цветность 7,Чистота 7,Огранка 5,Цветность 8,Чистота 8,Цветность 9,Чистота 9,Цветность 10,Чистота 10
0,1012159-3,SOKOLOV,Для женщин,1.66 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,6 шт,Бесцветный,0.046 карат,2.0,3.0,А,Бриллиант (природный),Круг,1 шт,Бесцветный,0.02 карат,3.0,6.0,А,38250,84990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1011493,SOKOLOV,Для женщин,1.35 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3.0,6.0,,,,,,,,,,35100,77990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1012584-3,SOKOLOV,Для женщин,0.9 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,23 шт,Бесцветный,0.069 карат,2.0,3.0,А,,,,,,,,,7990,7990,1,2 мм,2 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1011116,SOKOLOV,Для женщин,2.28 г,Белое золото,585.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.111 карат,3.0,6.0,А,Бриллиант (природный),Круг,12 шт,Бесцветный,0.119 карат,2.0,3.0,А,99000,219990,1,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1011545-3,SOKOLOV,Для женщин,1.31 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,57 шт,Бесцветный,0.165 карат,2.0,3.0,,,,,,,,,,56250,124990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,019243,SOKOLOV,Для женщин,0.99 г,Красное золото,585.0,,Фианит,Круг,1 шт,Бесцветный,0.846 карат,,,,,,,,,,,,6990,6990,1,2 мм,5 мм,4 мм,,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,019263,SOKOLOV,Для женщин,0.97 г,Красное золото,585.0,Родирование,Фианит,Круг,5 шт,Бесцветный,1.004 карат,,,,,,,,,,,,6490,6490,1,1 мм,3 мм,3 мм,15 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1012568-3,SOKOLOV,Для женщин,3.31 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,116 шт,Бесцветный,0.636 карат,2.0,3.0,А,,,,,,,,,135000,299990,1,5 мм,8 мм,2 мм,,,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1012355-3,SOKOLOV,Для женщин,1.64 г,Белое золото,585.0,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,27 шт,Бесцветный,0.078 карат,2.0,3.0,,,,,,,,,,24990,24990,1,2 мм,4 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1010139,SOKOLOV,Для женщин,1.64 г,Белое золото,585.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.285 карат,3.0,7.0,,,,,,,,,,138000,459990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1012564-3,SOKOLOV,Для женщин,0.78 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.029 карат,4.0,7.0,А,,,,,,,,,8990,8990,1,1 мм,4 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1011677,SOKOLOV,Для женщин,1.5 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.1 карат,3.0,7.0,,,,,,,,,,65250,144990,1,2 мм,4 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1010256,SOKOLOV,Для женщин,3.74 г,Белое золото,585.0,,Бриллиант (природный),Круг,134 шт,Бесцветный,0.496 карат,2.0,3.0,,,,,,,,,,119250,264990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1012326-3,SOKOLOV,Для женщин,3.35 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,12 шт,Бесцветный,0.437 карат,3.0,6.0,,,,,,,,,,146250,324990,1,3 мм,5 мм,2 мм,19 мм,,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1011803,SOKOLOV,Для женщин,1.98 г,Белое золото,585.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.081 карат,3.0,6.0,,Бриллиант (природный),Круг,20 шт,Бесцветный,0.058 карат,2.0,3.0,,76500,169990,1,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1012336-3,SOKOLOV,Для женщин,1.11 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,26 шт,Бесцветный,0.075 карат,2.0,3.0,,,,,,,,,,31500,69990,1,2 мм,3 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1011797,SOKOLOV,Для женщин,1.81 г,Комбинированное золото,585.0,,Бриллиант (природный),Круг,8 шт,Бесцветный,0.023 карат,2.0,3.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.021 карат,3.0,6.0,,54000,119990,1,1 мм,7 мм,4 мм,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1012616,SOKOLOV,Для женщин,3.39 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,56 шт,Бесцветный,0.154 карат,2.0,3.0,А,,,,,,,,,39990,39990,1,5 мм,5 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1011557,SOKOLOV,Для женщин,1.78 г,Комбинированное золото,585.0,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3.0,6.0,,,,,,,,,,42750,94990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1011492,SOKOLOV,Для женщин,1.37 г,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3.0,6.0,,,,,,,,,,35100,77990,1,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1011802,SOKOLOV,Для женщин,2.02 г,Комбинированное золото,585.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.081 карат,3.0,6.0,,Бриллиант (природный),Круг,20 шт,Бесцветный,0.058 карат,2.0,3.0,,76500,169990,1,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1011510,SOKOLOV,Для женщин,1.05 г,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.013 карат,3.0,6.0,,,,,,,,,,10990,10990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
