,Артикул,Бренд,Коллекция,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Размеры вставки,Ширина кольца,Ширина,Высота,Цена со скидкой,Цена без скидки,Номер страницы,Тип вставки 2,Количество 2,Вес 2,Длина,Форма вставки 2,Цвет 2,Размеры вставки 2,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Размеры вставки 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 4,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Цветность,Чистота,Цветность 2,Чистота 2,Цветность 3,Чистота 3,Огранка,Огранка 2,Огранка 3,Цветность 4,Чистота 4,Цветность 5,Чистота 5,Цветность 6,Чистота 6,Цветность 7,Чистота 7,Огранка 4,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Огранка 5,Цветность 8,Чистота 8,Цветность 9,Чистота 9,Цветность 10,Чистота 10,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14
0,93011090,SOKOLOV,RUSSE,Для женщин,2.54 г,Золочёное серебро,925,Золочение,Фианит,Сердце,1 шт,Зелёный,0.7 карат,6 мм * 6 мм,2 мм,7 мм,8 мм,3150,6990,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,93011094,SOKOLOV,,Для женщин,1 г,Золочёное серебро,925,Золочение,Фианит,Круг,1 шт,Бесцветный,0.297 карат,"3, 5 мм",,,,1170,2590,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,93011095,SOKOLOV,,Для женщин,3.17 г,Золочёное серебро,925,"Золочение,  Родирование,  Эмаль",Эмаль,,1 шт,,0.48 карат,,4 мм,9 мм,1 мм,4500,9990,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,93011096,SOKOLOV,,Для женщин,2.99 г,Золочёное серебро,925,"Золочение,  Эмаль",Эмаль,,1 шт,,0.48 карат,,4 мм,9 мм,1 мм,3820,8490,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,93011100,SOKOLOV,,Для женщин,1.23 г,Золочёное серебро,925,Золочение,Без вставок,,,,,,2 мм,2 мм,2 мм,1350,2990,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,93011101,SOKOLOV,,Для женщин,2.19 г,Золочёное серебро,925,"Золочение,  Эмаль",Фианит,Круг,5 шт,Бесцветный,0.143 карат,"1, 5 мм",1 мм,10 мм,4 мм,2520,5590,34,Эмаль,1 шт,0.48 карат,14 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,93110001,SOKOLOV,,"Для женщин, Для мужчин, Унисекс",1.48 г,Золочёное серебро,925,,Без вставок,,,,,,,,,1260,2790,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,93110008,SOKOLOV,,Для женщин,2.48 г,Золочёное серебро,925,Гравировка,Без вставок,,,,,,,,,2700,5990,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,93110016,SOKOLOV,,Для женщин,3.52 г,Золочёное серебро,925,"Гравировка,  Золочение",Без вставок,,,,,,,,,2790,6190,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,93110022,SOKOLOV,,"Для женщин, Для мужчин, Унисекс",1.92 г,Золочёное серебро,925,Золочение,Без вставок,,,,,,6 мм,6 мм,1 мм,1260,2790,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
